OPENSEA URLS FOR AUTO BUYING,MAX BUYING PRICE,MIN BUYING PRICE
https://opensea.io/assets/0x5e8bbe6b1a1e9aa353218c5b6693f5f7c5648327/1674,0.01,0.001
https://opensea.io/assets/0x5e8bbe6b1a1e9aa353218c5b6693f5f7c5648327/1080,0.05,0.001
https://opensea.io/assets/0x5e8bbe6b1a1e9aa353218c5b6693f5f7c5648327/1385,0.04,0.001
https://opensea.io/assets/0x5e8bbe6b1a1e9aa353218c5b6693f5f7c5648327/1600,0.02,0.001
https://opensea.io/assets/0x772c9181b0596229ce5ba898772ce45188284379/5916,0.05,0.001
https://opensea.io/assets/0x772c9181b0596229ce5ba898772ce45188284379/5508,0.02,0.001
https://opensea.io/assets/0x772c9181b0596229ce5ba898772ce45188284379/4391,0.03,0.001
https://opensea.io/assets/0x772c9181b0596229ce5ba898772ce45188284379/2202,0.07,0.001
https://opensea.io/assets/0x772c9181b0596229ce5ba898772ce45188284379/4254,0.02,0.001
https://opensea.io/assets/0x3725ca6034bcdbc3c9ada649d49df68527661175/2396,0.06,0.001
https://opensea.io/assets/0x3725ca6034bcdbc3c9ada649d49df68527661175/2396,0.02,0.001
https://opensea.io/assets/0xef3c951e22c65f6256746f4e227e19a5bcbf393c/181,0.04,0.001
https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/77145546951944958763741319904361551411909238433895885342936554025825874214913,0.05,0.001
